,"Tribe",,,,"Species","Tooth type","Max/mand","Index","Amplitudes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extant","Alcelaphini",,,,1,"LM2","mand",3018,244.617905,119.023903,15.23175,2.34559,22.798651,52.699581,2.69557,17.96402,6.21454,9.91686,2.11566,7.19288,1.4962,10.52544,2.43077,4.72956,2.08756,1.68586,0.60566,5.26804,0.90862,2.71099,1.75485,1.22561,0.30147,2.30664,2.00903,0.93073,0.5256,1.57951,1.62244,2.90154,0.20066,1.2274,0.88886,1.01566,0.93437,1.05123,0.21443,0.82146,0.15025,0.32293,0.40264,1.00837,0.20594,0.41036,0.28286,0.49288,0.31136,0.51638,0.13049,0.41944,0.29851,0.28632,0.22721,0.36656,0.15234,0.65282,0.28938,0.21926
"Extant","Alcelaphini",,,,1,"LM2","mand",3022,254.254395,119.8396,15.41942,4.39189,28.050591,54.87989,4.02029,16.335291,4.58057,11.73327,1.32065,5.80565,0.90004,11.36237,1.38858,2.5776,1.29851,0.68182,0.78461,5.787,0.75634,2.11057,0.82003,1.12293,0.45978,2.85305,1.01903,0.48191,0.32589,0.847,1.05157,2.97351,0.25361,0.82029,0.79067,0.59801,0.53731,1.29989,0.34819,0.25214,0.3113,0.51799,0.20832,1.58819,0.29455,0.49116,0.40515,0.07489,0.12286,0.8876,0.02761,0.29949,0.42782,0.29496,0.2533,0.82513,0.09471,0.35478,0.23432,0.1755
"Extant","Alcelaphini",,,,1,"LM2","mand",3026,228.020798,117.419701,12.34942,5.31839,25.03417,59.612968,3.76914,11.06215,6.57122,13.66863,2.01053,5.62853,3.00353,9.54479,3.96225,2.99569,1.12626,2.25195,1.17883,5.22094,1.76404,1.04911,0.39495,0.66715,0.88591,2.93942,2.44724,1.13679,0.51185,0.24214,0.8944,2.31644,1.10312,0.9319,0.98105,0.72951,0.22421,1.58881,0.55976,0.98058,0.69275,0.45996,0.40363,1.02284,0.46651,0.53674,0.10776,0.4452,0.42134,0.73059,0.3692,0.50589,0.26375,0.33556,0.13372,0.58259,0.22216,0.43031,0.0706,0.45297
"Extant","Alcelaphini",,,,1,"LM2","mand",3030,230.487396,107.477799,16.92308,3.33866,24.43976,50.421928,1.95914,16.273701,5.83484,10.43414,2.66131,6.89282,1.05129,11.044581,2.51028,3.82819,1.93463,1.52696,0.51889,5.10146,1.68612,1.53416,0.71975,1.47125,1.50316,2.87208,1.63645,0.85116,0.76924,0.60987,1.08485,1.82877,0.33757,0.45138,0.88088,0.71654,0.68645,1.04283,0.38504,0.4509,0.54802,0.51275,0.3065,0.94454,0.30234,0.33357,0.33425,0.25727,0.16577,0.39801,0.02527,0.14508,0.40454,0.23753,0.13884,0.49692,0.22543,0.36477,0.43052,0.20237
"Extant","Alcelaphini",,,,1,"LM2","mand",3034,232.396606,115.249703,15.45121,3.75943,23.67075,58.71767,4.64094,13.11495,7.12115,11.94062,1.8556,4.93246,1.2332,11.87847,3.46314,3.87768,0.93701,3.02153,1.10564,4.68863,1.16768,2.01194,1.71449,0.82182,0.85805,3.85478,1.81806,1.96324,0.66013,1.39994,1.51504,1.71557,0.70888,0.43885,0.43699,0.70321,1.22591,1.80624,0.35802,1.5514,0.34187,0.67006,0.34534,0.83682,0.20103,0.18407,0.14807,0.49113,0.40894,0.78487,0.3654,0.50923,0.42444,0.47615,0.13298,0.25214,0.08903,0.14067,0.24336,0.2392
"Extant","Alcelaphini",,,,1,"LM2","mand",3038,234.590103,103.557999,16.112141,3.03223,22.988541,55.249908,1.87446,14.62967,4.4765,9.246121,1.77177,2.91022,0.57793,11.16461,3.68289,5.24047,1.93788,3.1036,0.75728,3.86534,1.27436,1.44596,0.93507,0.83986,1.03903,3.30425,1.42357,2.47125,0.59089,1.21141,0.79086,1.2997,0.98718,0.60851,0.41845,0.83166,1.01188,1.20454,0.62462,1.07743,0.51581,0.59702,0.4616,0.32599,0.31528,0.35386,0.15017,0.50072,0.5791,0.491,0.18559,0.39196,0.37884,0.27351,0.19556,0.25418,0.3141,0.40535,0.08036,0.35711
"Extant","Alcelaphini",,,,1,"LM2","mand",3042,227.138901,101.029198,17.75992,7.69119,23.682699,48.380241,3.95318,15.32416,3.37127,9.49567,2.12195,4.72376,2.02873,8.37355,1.85884,3.49155,0.77701,0.68071,0.33334,5.25457,0.76704,1.75215,0.90531,1.63595,0.23901,2.16547,1.05586,0.82524,0.66595,1.18393,0.7841,2.15714,0.14157,0.24745,0.98805,0.96609,0.52228,1.2412,0.26803,0.5009,0.18568,0.92057,0.31988,0.76152,0.21461,0.14447,0.31243,0.33805,0.18489,0.46758,0.25907,0.34857,0.19983,0.63426,0.16677,0.25262,0.16471,0.30428,0.15112,0.14688
"Extant","Alcelaphini",,,,1,"LM2","mand",3046,237.149597,119.4963,19.90452,12.814,23.749531,62.397461,4.57857,10.22032,5.72528,12.35843,1.66745,1.36783,4.2461,9.32675,2.39622,5.39663,2.27819,4.80145,0.30304,2.86611,1.58125,2.72577,1.60317,1.35885,1.55093,1.24733,0.63035,1.67693,1.84594,1.9049,0.99924,1.33996,0.70221,1.27071,0.50717,0.97659,0.61651,0.2581,0.4996,0.94055,0.51586,0.88792,0.37198,0.35989,0.17646,0.39826,0.41864,0.58904,0.40766,0.25447,0.38252,0.46874,0.34413,0.56642,0.20762,0.22506,0.20154,0.09485,0.1118,0.36534
"Extant","Alcelaphini",,,,1,"LM2","mand",3050,245.629303,117.243599,15.75809,6.5773,26.398439,57.124451,1.62338,15.67034,5.36132,11.31536,1.68151,6.49221,1.84749,10.98638,4.15322,3.7398,0.8081,2.3289,0.19956,4.93788,0.99412,1.84015,0.47005,1.06932,0.19231,2.66197,1.54298,1.63024,0.76441,1.15862,1.5243,2.28485,0.35897,0.80704,0.40384,1.40854,0.66935,1.27352,0.1565,1.26468,0.29531,0.50422,0.32825,0.96248,0.31716,0.45941,0.22479,0.55888,0.33571,0.48494,0.13684,0.34713,0.23345,0.33834,0.03229,0.31629,0.21085,0.34788,0.24801,0.38394
"Extant","Alcelaphini",,,,1,"LM2","mand",3054,227.231003,107.518097,25.727421,9.96061,20.067141,59.69062,5.64968,11.12472,5.17667,8.50379,3.21973,5.59998,3.34062,7.93915,2.3054,4.37353,2.75069,5.2808,0.81751,1.87295,0.71924,2.33608,1.07759,2.30925,0.78867,0.70358,1.84236,1.9587,1.66567,2.79781,0.65201,0.60704,0.99969,0.86538,0.257,0.97634,0.60869,0.67304,0.22765,0.6943,0.45805,1.09812,0.53061,0.77729,0.67783,0.26213,0.33042,0.53846,0.17459,0.62711,0.40895,0.17015,0.09718,0.3262,0.27715,0.53981,0.31203,0.17114,0.13808,0.0505
