,"Tribe",,,,"Species","Tooth type","Max/mand","Index","Amplitudes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extant","Alcelaphini",,,,1,"UM1","max",2939,213.934006,181.654999,3.97088,11.14334,6.7897,44.84507,3.90045,13.04084,11.59543,11.09623,1.30255,11.62873,2.03138,7.0446,2.6099,3.12969,0.50334,7.80552,1.93742,2.17203,0.91653,3.22688,0.7794,4.21323,1.95514,2.53386,0.32784,1.15469,0.76089,1.03858,1.95664,2.00936,0.97848,1.8839,0.67624,0.63693,1.04476,0.709,0.52991,1.53868,0.01147,0.7014,0.59876,0.65528,0.55738,0.44452,0.1488,0.89134,0.71386,0.60645,0.38819,0.50178,0.42051,0.25213,0.17184,0.6121,0.09477,0.47968,0.24645,0.08448
"Extant","Alcelaphini",,,,1,"UM1","max",2943,197.962006,172.039505,11.73023,2.19899,27.45249,11.36956,4.40153,2.29675,16.46563,12.39647,3.64841,2.16614,4.34445,6.15242,2.49127,2.76736,2.35702,1.22469,0.36226,1.39745,3.20754,1.28183,1.17802,1.51093,2.41295,1.75792,1.47356,0.57785,1.15367,0.65137,0.73012,0.65665,0.4076,0.90136,0.47193,0.56567,0.41171,0.6595,0.25984,0.66591,0.56618,0.09563,0.27682,0.30466,0.68718,0.46365,0.44328,0.19942,0.49215,0.10199,0.2779,0.27091,0.20349,0.38255,0.27843,0.44845,0.08596,0.11479,0.14971,0.11643
"Extant","Alcelaphini",,,,1,"UM1","max",2947,219.031296,179.516998,5.93985,13.94889,9.09464,39.579899,4.5467,12.23913,6.29938,13.01568,4.51005,12.7443,0.6071,7.68538,1.398,2.34673,0.91562,6.40636,2.07608,0.73769,1.15792,2.19909,0.79328,3.28747,0.50786,1.27396,0.34362,1.41688,1.69759,1.39996,2.28526,2.21908,0.51298,1.1501,0.25106,1.08427,0.85384,0.73694,1.07878,1.13995,0.5287,0.46234,0.28983,0.03681,0.28106,0.468,0.21407,0.8284,0.36022,0.21972,0.20495,0.34739,0.52644,0.31367,0.07389,0.24011,0.08816,0.46778,0.27066,0.24757
"Extant","Alcelaphini",,,,1,"UM1","max",2951,214.836105,176.083298,5.39456,2.39079,12.16739,38.663761,5.10177,13.38162,11.89878,10.69153,2.40296,13.44878,0.69115,4.85464,1.40129,4.98058,1.6455,4.39791,0.24742,2.15537,0.35552,0.97366,1.17471,4.43454,1.77436,2.05279,0.61968,2.14255,0.74875,1.5097,1.02475,1.67624,1.02407,1.3283,0.73585,0.26863,0.76894,0.62501,0.1514,1.3869,0.33432,0.26029,0.29472,0.13693,1.02754,1.07369,0.59951,0.69473,0.131,0.68568,0.15774,0.34946,0.17836,0.12728,0.2417,0.43581,0.58063,0.16496,0.19968,0.17585
"Extant","Alcelaphini",,,,1,"UM1","max",2955,231.203705,161.117996,8.04595,14.14316,11.87231,41.16851,3.86912,22.42197,7.49539,4.66636,1.67883,16.14888,0.33012,6.38196,2.26365,5.21873,0.98644,5.38341,1.37002,3.21623,2.5994,3.78191,1.28076,4.07463,0.82838,0.72583,2.33096,1.59826,1.03586,3.19772,0.50695,1.76617,0.60747,1.02766,0.94242,0.88974,0.19558,0.70807,0.66817,0.76094,0.63489,0.52708,0.36478,0.12531,0.30775,0.97249,0.48925,0.19931,0.39901,0.31204,0.30495,0.45033,0.26332,0.17527,0.13956,0.35571,0.35619,0.3848,0.11531,0.04199
"Extant","Alcelaphini",,,,1,"UM1","max",2960,226.753998,183.409195,6.37095,15.76344,6.34311,36.126129,4.34219,13.31223,7.38571,8.704001,4.57025,10.4065,1.14506,7.04315,1.19321,4.61665,1.36861,7.89637,0.53457,1.95941,1.1872,2.03472,1.19432,4.08525,1.22852,1.11654,1.248,0.83164,1.45805,2.10679,1.29487,1.88744,0.08457,1.36029,0.35236,0.86327,1.07088,0.97692,0.50306,1.45831,0.18987,0.71557,0.4506,0.37022,0.06564,0.47471,0.33515,0.61504,0.69566,0.3439,0.40786,0.2497,0.31088,0.16661,0.04455,0.26003,0.23979,0.05634,0.19354,0.26259
"Extant","Alcelaphini",,,,1,"UM1","max",2964,212.955002,180.094803,8.43979,1.13854,22.33308,34.801331,7.62122,13.53399,10.31796,13.03588,5.50192,12.88022,1.73888,4.34494,0.73887,5.18092,2.77166,4.31415,0.36011,3.1274,0.1649,0.91573,2.13196,4.34238,2.39761,2.00987,0.92761,2.2856,0.65534,1.31569,1.50884,1.127,1.53155,1.74983,0.91535,0.5141,0.06121,0.63615,0.3414,1.07828,0.35363,0.46494,0.21295,0.2957,0.69184,0.95716,0.43807,0.61641,0.66614,0.7237,0.11415,0.31329,0.27015,0.04563,0.46555,0.64302,0.23396,0.13362,0.34436,0.38199
"Extant","Alcelaphini",,,,1,"UM1","max",2968,225.973099,182.993607,9.77746,2.99019,13.42486,41.958439,3.16264,13.42489,9.17273,11.21083,4.31188,13.37229,0.76177,5.48863,0.82531,5.49029,2.22092,5.04791,2.11151,2.30607,0.625,0.97801,0.67831,3.05411,1.87163,1.4024,0.63121,1.54213,0.23491,1.40144,0.92789,1.51219,1.50273,1.67932,0.58857,0.81197,0.86485,1.00188,0.27542,1.08551,0.36851,0.82481,0.20196,0.76335,0.4943,0.77979,0.2361,0.77486,0.35151,0.82228,0.14124,0.74826,0.36301,0.46783,0.08382,0.52542,0.27737,0.20566,0.16439,0.28697
"Extant","Alcelaphini",,,,1,"UM1","max",2972,242.376602,174.049606,2.09983,17.798071,15.77694,42.900162,0.5622,20.21657,9.0008,6.83769,1.43037,12.74146,1.28281,8.51399,3.48043,5.97194,1.84478,5.06567,0.97256,4.76595,1.74391,4.15926,1.20199,3.88482,0.4008,1.16,2.4894,2.01642,1.78671,3.11152,0.44169,1.27106,0.25965,0.16105,0.41739,1.41604,0.80759,1.1205,0.47167,0.69309,0.85786,1.03402,0.42808,0.46602,0.40272,1.15279,0.38713,0.49672,0.24082,0.10516,0.11364,0.65909,0.43518,0.21877,0.19186,0.19709,0.02878,0.78459,0.22734,0.19169
"Extant","Alcelaphini",,,,1,"UM1","max",2976,237.949905,172.032394,4.31434,18.29401,8.67969,44.112492,4.51341,21.662939,11.07115,7.37801,2.41795,12.64847,2.20824,9.02263,2.07741,4.74394,0.86684,6.74289,0.59564,4.46961,1.91384,4.28579,1.08099,4.12129,0.45405,0.9404,1.80889,2.45022,1.7337,3.77573,0.73392,1.63599,0.46857,0.36491,0.21057,1.79531,0.82018,0.7699,0.85855,0.91797,0.3039,0.79388,0.23827,0.44044,0.73637,0.71136,0.36371,0.58184,0.30552,0.30062,0.49428,0.42167,0.32982,0.14754,0.15521,0.15909,0.5248,0.48976,0.38608,0.1641
